"pitcher","pitcher_name"
543726,"Robbie Ross"
571704,"Kenneth Giles"
449097,"Jonathan Papelbon"
468396,"Alexi Ogando"
547874,"Hisashi Iwakuma"
533167,"Matt Shoemaker"
501625,"Jose Alvarez"
573046,"Mike Morin"
501925,"Joe Smith"
543606,"Jake Odorizzi"
456068,"Miguel Gonzalez"
451085,"Brian Matusz"
592329,"Jason Garcia"
449079,"Wesley Wright"
519455,"Jordan Zimmermann"
594798,"Jacob deGrom"
489334,"Craig Stammen"
606160,"Rafael Montero"
595014,"Blake Treinen"
519322,"Drew Storen"
543101,"Anthony DeSclafani"
150359,"A.J. Burnett"
572888,"Shane Greene"
502043,"Kyle Gibson"
502272,"Casey Fien"
488846,"Brian Duensing"
450282,"Glen Perkins"
452733,"Tom Gorzelanny"
592879,"Randall Wojciechowski"
545333,"Trevor Bauer"
465679,"Samuel Deduno"
641490,"Kyle Crockett"
430589,"Chad Qualls"
450172,"Edinson Volquez"
433579,"John Danks"
458006,"Matt Albers"
502085,"David Robertson"
282332,"CC Sabathia"
596057,"Daniel Norris"
608665,"Kendall Graveman"
607259,"Nicholas Martinez"
461325,"Tyler Clippard"
571527,"David Buchanan"
475416,"Justin Masterson"
430661,"Dustin McGowan"
444520,"Craig Breslow"
465629,"Edward Mujica"
453178,"Ian Kennedy"
218596,"Tim Hudson"
628333,"Odrisamer Despaigne"
544931,"Stephen Strasburg"
518774,"Matt Harvey"
543699,"Tanner Roark"
456776,"Alexander Torres"
502327,"Hector Santiago"
450306,"Jason Vargas"
502260,"Vinnie Pestano"
502624,"Chase Anderson"
474463,"Brett Anderson"
445590,"Eric Stults"
477003,"Jon Niese"
592340,"Erik Goeddel"
543219,"Sean Gilmartin"
502032,"Bud Norris"
279824,"Mark Buehrle"
521230,"Liam Hendriks"
518833,"Colt Hynes"
462136,"Marco Estrada"
456051,"Hector Noesi"
543548,"Tommy Milone"
150302,"Jason Marquis"
407793,"John Lackey"
595307,"Michael Maness"
502083,"Zach McAllister"
430580,"Alfredo Simon"
461872,"Anthony Swarzak"
543278,"Blaine Hardy"
501955,"Joba Chamberlain"
554431,"Tyler Matzek"
475243,"Travis Wood"
548357,"Christian Bergman"
489295,"Brian Schlitter"
429719,"Edwin Jackson"
429717,"Dan Haren"
541640,"Erasmo Ramirez"
542882,"Matthew Andriese"
571666,"Michael Fiers"
502046,"Jeff Locke"
543135,"Nathan Eovaldi"
489119,"Wade Miley"
460008,"Anthony Varvaro"
453214,"Steven Wright"
519141,"Drew Pomeranz"
592836,"Taijuan Walker"
425532,"Jerome Williams"
461829,"Gio Gonzalez"
453344,"Brandon Morrow"
453311,"Tim Lincecum"
502706,"Derek Holland"
543521,"Collin McHugh"
425386,"Jeremy Guthrie"
607968,"Drew Rucinski"
605151,"Archie Bradley"
518716,"Dillon Gee"
434622,"Ubaldo Jimenez"
592717,"Aaron Sanchez"
445170,"Todd Redmond"
460059,"Mike Pelfrey"
608379,"Michael Wacha"
329092,"Randy Choate"
434628,"Jason Hammel"
543054,"Jarred Cosart"
519076,"Jimmy Nelson"
474699,"Vance Worley"
476589,"Adam Warren"
523260,"Joe Kelly"
595441,"Matthew Tracy"
457918,"J.A. Happ"
450729,"Doug Fister"
543506,"Brandon Maurer"
433584,"Roberto Hernandez"
457754,"Jon Edwards"
432934,"Chris Young"
519263,"AJ Schugel"
605374,"Andrew McKirahan"
519242,"Chris Sale"
628452,"Raisel Iglesias"
453646,"Carlos Villanueva"
543334,"T.J. House"
543456,"Kyle Lobstein"
542866,"Austin Adams"
451788,"Shaun Marcum"
543294,"Kyle Hendricks"
594987,"Casey Sadler"
434678,"Kyle Davies"
457711,"Sean O'Sullivan"
408241,"Jake Peavy"
595371,"Chris Rearick"
605169,"Carter Capps"
608678,"Dominic Leone"
543507,"Trevor May"
462985,"Franklin Morales"
516935,"Stolmy Pimentel"
502239,"Trevor Cahill"
516970,"Sugar Ray Marimon"
570632,"Jose Urena"
493157,"Koji Uehara"
573127,"Zachary Rosscup"
502748,"Brad Peacock"
453307,"David Huff"
623184,"Scott Oberg"
572038,"Branden Pinder"
514669,"Rafael Martin"
543881,"Pedro Villarreal"
519168,"Anthony Ranaudo"
573244,"Adam Wilk"
523848,"Jose Dominguez"
571893,"Adam Liberatore"
573204,"Caleb Thielbar"
489294,"Tanner Scheppers"
592677,"C.J. Riefenhauser"
553878,"Felipe Rivero"
464416,"Yohan Pino"
517593,"Danny Salazar"
456701,"Homer Bailey"
572070,"Garrett Richards"
460156,"Brandon Gomes"
433585,"Jeff Francis"
407822,"Jorge De La Rosa"
592135,"Cameron Bedrosian"
477195,"Ike Davis"
607074,"Carlos Rodon"
621962,"Ian Thomas"
434665,"Nick Masset"
504186,"Arnold Leon"
502593,"Jake Petricka"
542674,"Gonzalez Germen"
594840,"Matthew Grace"
607374,"Nick Tropeano"
593576,"Hector Neris"
502211,"Michael Bolsinger"
434643,"Wandy Rodriguez"
543935,"Alex Wilson"
570663,"Hansel Robles"
534812,"Kevin Quackenbush"
592767,"Drew Smyly"
598264,"Matt Barnes"
518771,"Mitchell Harris"
543942,"Robert Wooten"
605135,"Chris Bassitt"
451661,"Joshua Fields"
435045,"Sergio Santos"
476595,"Lucas Luetge"
592390,"Heath Hembree"
475857,"Ryan Cook"
543409,"Michael Kohn"
435044,"Scott Baker"
516910,"Carlos Frias"
606273,"Roenis Elias"
501870,"Everett Teaford"
543508,"Cory Mazzoni"
592222,"Alexander Claudio"
504083,"Jorge Rondon"
595918,"A.J. Cole"
605232,"Brandon Finnegan"
595032,"Chase Whitley"
605894,"Severino Gonzalez"
542609,"Enrique Burgos"
607405,"John Cornely"
453222,"Scott Carroll"
547179,"Michael Lorenzen"
542266,"Carlos Contreras"
605333,"John Leathersich"
453264,"Donald Veal"
444436,"Ryan Webb"
543859,"Michael Tonkin"
519301,"Sammy Solis"
608641,"Tim Cooney"
592314,"Michael Foltynewicz"
517008,"Alexander Colome"
452027,"Andrew Albers"
502087,"Kevin Chapman"
571577,"Scott Copeland"
648737,"Dalier Hinojosa"
519151,"Ryan Pressly"
594977,"Kenneth Roberts"
592815,"Samuel Tuivailala"
462515,"Miguel Socolovich"
605477,"Chad Smith"
451532,"Chad Billingsley"
542587,"Elvis Araujo"
543056,"Daniel Coulombe"
544928,"Tyler Lyons"
460701,"James Russell"
447755,"Steve Delabar"
554432,"Chad Jenkins"
346847,"Joe Beimel"
450275,"Mark Lowe"
592662,"Robbie Ray"
607359,"Spencer Patton"
543921,"Joseph Wieland"
460024,"Luke Hochevar"
451775,"Fernando Rodriguez"
518748,"Justin Grimm"
445213,"Brandon Kintzler"
519008,"T.J. McFarland"
554234,"Williams Perez"
458919,"Ryan Mattheus"
136600,"Bruce Chen"
424325,"David Ross"
502162,"Angel Castro"
571479,"Andrew Bellatti"
500724,"Juan Ramirez"
572193,"Ryan Tepera"
573064,"Vidal Nuno"
519208,"Clint Robinson"
592789,"Noah Syndergaard"
519085,"Brett Oberholtzer"
518452,"Chad Bettis"
489039,"Bobby LaFromboise"
518693,"Samuel Freeman"
493117,"Kyuji Fujikawa"
542432,"Jose Ramirez"
605156,"Aaron Brooks"
456071,"Yohan Flande"
445276,"Kenley Jansen"
430599,"Joe Blanton"
605541,"Mike Wright"
425626,"Chris Capuano"
459429,"Jacob McGee"
456027,"Ross Ohlendorf"
621121,"Lance McCullers"
594772,"Jake Buchanan"
608349,"Corey Knebel"
592869,"Tyler Wilson"
493159,"Tsuyoshi Wada"
448802,"Jaime Garcia"
571735,"David Hale"
519326,"Hunter Strickland"
543118,"Oliver Drake"
434540,"Garrett Jones"
544836,"Enny Romero"
445163,"Casey Janssen"
475054,"Chaz Roe"
543258,"Preston Guilmet"
605338,"Jacob Lindgren"
450203,"Charlie Morton"
476570,"Vincent Mazzaro"
543734,"Christopher Rusin"
592341,"David Goforth"
516589,"Andre Rienzo"
594986,"Kyle Ryan"
448281,"Sean Doolittle"
571656,"Buck Farmer"
571476,"Chris Beck"
543900,"Daniel Webb"
593958,"Eduardo Rodriguez"
518863,"Taylor Jordan"
592346,"Alex Gonzalez"
592398,"Taylor Hill"
593140,"Michael Feliz"
621281,"Tyler Wagner"
592454,"Thomas Kahnle"
515052,"Mayckol Guaipe"
500891,"Edgar Ibarra"
502051,"Josh Ravin"
543557,"Mike Montgomery"
572788,"Tyler Cravy"
544759,"Bo Schultz"
519381,"Pat Venditte"
621209,"Jon Moscot"
501627,"Cesar Cabral"
572309,"Kendry Flores"
605452,"Joseph Ross"
456696,"David Hernandez"
430911,"David Aardsma"
502264,"Nathan Adcock"
543380,"Taylor Jungmann"
592826,"Vincent Velasquez"
543045,"Adam Conley"
445968,"Dana Eveland"
547348,"Chen Lee"
491696,"Jesus Sucre"
429781,"Kevin Correia"
448855,"Junior Guerra"
434378,"Justin Verlander"
458730,"Robert Parnell"
543903,"Allen Webster"
458678,"Michael Broadway"
641627,"Trevor Gott"
425796,"Jeff Francoeur"
518653,"Jacob Elmore"
545338,"Nick Franklin"
518764,"Donovan Hand"
430605,"Ryan Raburn"
461815,"David Murphy"
502522,"Justin Miller"
506560,"Alexi Amarista"
592570,"Akeel Morris"
430613,"Ronald Belisario"
605538,"Matt Wisler"
453249,"Jeff Manship"
518418,"Phillippe Aumont"
592593,"Justin Nicolino"
519411,"Matthew West"
571951,"Bryan Mitchell"
425543,"Josh Wilson"
519229,"Seth Rosin"
594736,"Cody Anderson"
592181,"Dan Burawa"
517059,"Jose De Paula"
605388,"Adam Morgan"
514981,"Diego Moreno"
592705,"Nick Rumbelow"
595001,"Josh Smith"
592527,"Michael Mariot"
571760,"Andrew Heaney"
571710,"Mychal Givens"
467100,"Ivan Nova"
458690,"Christopher Volstad"
456496,"Marcos Mateo"
608167,"Jonathan Aro"
541652,"Bruce Rondon"
543542,"Alex Meyer"
489267,"Adam Rosales"
519169,"Rob Rasmussen"
500610,"Deolis Guerra"
543698,"Donn Roach"
571510,"Matt Boyd"
538506,"Tooru Murata"
571927,"Steven Matz"
592781,"Matthew Stites"
502010,"Jacob Brigham"
502462,"William Kelly"
502281,"Marcus Hatley"
544365,"Manny Banuelos"
605228,"Jose Fernandez"
430912,"Matt Cain"
519043,"Matt Moore"
573185,"Dan Straily"
598287,"Noe Ramirez"
467094,"Felix Doubront"
592612,"Josh Osich"
571578,"Patrick Corbin"
453385,"Clayton Richard"
594815,"Jeff Ferrell"
543716,"David Rollins"
572403,"Drew VerHagen"
429722,"Ervin Santana"
474668,"Eric Surkamp"
542923,"Dallas Beeler"
527055,"Arodys Vizcaino"
518526,"David Carpenter"
594951,"Ryan O'Rourke"
457448,"Matt Harrison"
444836,"Aaron Laffey"
425835,"Chin-hui Tsao"
571521,"Rex Brothers"
545404,"Brandon Beachy"
572889,"Nick Greenwood"
516769,"Jenrry Mejia"
527048,"Martin Perez"
400089,"Rafael Soriano"
450665,"Kris Medlen"
518420,"Dylan Axelrod"
598271,"Brian Johnson"
605400,"Aaron Nola"
593582,"Abel De Los Santos"
643327,"Zack Godley"
545346,"Zach Lee"
571584,"Caleb Cotham"
571787,"David Holmberg"
572102,"Keyvius Sampson"
543094,"Jaff Decker"
580792,"Nick Goody"
572308,"Jose Valdez"
425560,"Adam LaRoche"
474284,"Cory Rasmus"
621408,"Matt Marksberry"
607068,"Chris Reed"
623395,"Brian Ellington"
599998,"Leonel Campos"
592351,"Jon Gray"
596064,"Henry Owens"
429780,"Chris Narveson"
622663,"Luis Severino"
608648,"Tyler Duffey"
489138,"Tyler Moore"
607457,"Kyle Barraclough"
592091,"Adam Achter"
518858,"Nathan Jones"
594857,"Keith Hessler"
453203,"Shane Robinson"
542888,"Shawn Armstrong"
429400,"Adam Loewen"
607067,"Colin Rea"
502166,"Brad Mills"
543424,"John Lamb"
458708,"Josh Tomlin"
493247,"Peter Moylan"
543607,"Edgar Olmos"
449170,"Erik Cordier"
456121,"Chris Denorfia"
459967,"Sam LeCure"
543518,"Scott McGough"
595191,"Jerad Eickhoff"
150116,"Randy Wolf"
605317,"Guido Knudson"
444446,"Collin Balester"
519186,"Matt Reynolds"
501563,"Simon Castro"
545064,"Jairo Diaz"
434137,"Logan Kensing"
468504,"Jhoulys Chacin"
453895,"Brendan Ryan"
430404,"Jonny Gomes"
543261,"Jason Gurka"
611093,"Silvino Bracho"
594742,"Alec Asher"
605226,"Andrew Faulkner"
489002,"Steve Johnson"
602083,"Miguel Almonte"
623430,"Ryan Dull"
594835,"Marco Gonzales"
457732,"Andrew Bailey"
518397,"Scott Alexander"
605200,"Zach Davies"
593423,"Francellis Montas"
605396,"Colton Murray"
425856,"Gavin Floyd"
595235,"Cody Hall"
592426,"Luke Jackson"
543964,"Anthony Zych"
543803,"Giovany Soto"
612272,"Raudel Lazo"
572021,"James Pazos"
605304,"Erik Johnson"
543594,"Sean Nolin"
488786,"Louis Coleman"
605218,"C.J. Edwards"
516714,"Dario Alvarez"
543901,"James Weber"
516414,"Ariel Pena"
596331,"Nefi Ogando"
518715,"Cory Gearrin"
594762,"Brett Bochy"
448179,"Rich Hill"
543351,"Jay Jackson"
544725,"Leury Garcia"
493351,"Alexei Ramirez"
573186,"Marcus Stroman"
572362,"Robbie Erlin"
543391,"Casey Kelly"
217096,"Barry Zito"
595465,"Daniel Winkler"
553872,"Jonathan Barrios"
605288,"Adrian Houser"
605347,"Jorge Lopez"
457456,"Jo-Jo Reyes"
