"pitcher","pitcher_name"
592662,"Robbie Ray"
458678,"Michael Broadway"
595345,"Steven Okert"
461325,"Tyler Clippard"
448802,"Jaime Garcia"
434628,"Jason Hammel"
493200,"Seung Hwan Oh"
455009,"Jonathan Broxton"
444468,"Hector Rondon"
502706,"Derek Holland"
444857,"Scott Feldman"
501817,"Tony Barnette"
451661,"Joshua Fields"
606965,"Chris Devenski"
605309,"Keone Kela"
518617,"Jake Diekman"
473879,"Samuel Dyson"
474521,"Shawn Tolleson"
527054,"Julio Teheran"
548389,"Ross Stripling"
527055,"Arodys Vizcaino"
434622,"Ubaldo Jimenez"
285079,"R.A. Dickey"
542960,"Brad Brach"
605164,"Dylan Bundy"
425856,"Gavin Floyd"
503285,"Darren O'Day"
502154,"Zachary Britton"
607352,"Joe Biagini"
519144,"Rick Porcello"
502042,"Chris Archer"
445968,"Dana Eveland"
444436,"Ryan Webb"
543144,"Daniel Farquhar"
544993,"Steven Geltz"
519242,"Chris Sale"
572070,"Garrett Richards"
502085,"David Robertson"
628452,"Raisel Iglesias"
518452,"Chad Bettis"
548357,"Christian Bergman"
517593,"Danny Salazar"
592836,"Taijuan Walker"
407908,"Joel Peralta"
453249,"Jeff Manship"
276542,"Joaquin Benoit"
518553,"Steve Cishek"
453178,"Ian Kennedy"
519455,"Jordan Zimmermann"
450275,"Mark Lowe"
458677,"Justin Wilson"
425426,"Chien-Ming Wang"
408061,"Francisco Rodriguez"
612672,"Wei-Yin Chen"
605452,"Joseph Ross"
444520,"Craig Breslow"
519076,"Jimmy Nelson"
543548,"Tommy Milone"
519151,"Ryan Pressly"
543135,"Nathan Eovaldi"
608665,"Kendall Graveman"
489446,"Kirby Yates"
572038,"Branden Pinder"
623430,"Ryan Dull"
467100,"Ivan Nova"
476451,"Jeremy Hellickson"
112526,"Bartolo Colon"
519141,"Drew Pomeranz"
502046,"Jeff Locke"
543456,"Kyle Lobstein"
518516,"Madison Bumgarner"
425844,"Zack Greinke"
593372,"Carlos Martinez"
543294,"Kyle Hendricks"
453385,"Clayton Richard"
519166,"Neil Ramirez"
430935,"Cole Hamels"
450729,"Doug Fister"
501789,"Will Harris"
477132,"Clayton Kershaw"
501957,"Chris Tillman"
462136,"Marco Estrada"
519381,"Pat Venditte"
456034,"David Price"
543606,"Jake Odorizzi"
571035,"William Cuevas"
458584,"Xavier Cedeno"
433579,"John Danks"
450308,"Jered Weaver"
605232,"Brandon Finnegan"
453562,"Jake Arrieta"
543532,"Timothy Melville"
502457,"Drew Hayes"
594736,"Cody Anderson"
501992,"Nate Karns"
545333,"Trevor Bauer"
450172,"Edinson Volquez"
460059,"Mike Pelfrey"
543408,"Tom Koehler"
453286,"Max Scherzer"
543380,"Taylor Jungmann"
445060,"Ricky Nolasco"
622663,"Luis Severino"
448179,"Rich Hill"
521230,"Liam Hendriks"
448306,"James Shields"
543037,"Gerrit Cole"
599998,"Leonel Campos"
453343,"Mark Melancon"
456501,"Johnny Cueto"
571946,"Shelby Miller"
456167,"A.J. Griffin"
572971,"Dallas Keuchel"
477003,"Jon Niese"
611093,"Silvino Bracho"
453265,"Tony Watson"
502032,"Bud Norris"
518774,"Matt Harvey"
543391,"Casey Kelly"
527048,"Martin Perez"
607309,"Phil Klein"
452666,"Tom Wilhelmsen"
500724,"Juan Ramirez"
592351,"Jon Gray"
431148,"Scott Kazmir"
542674,"Gonzalez Germen"
520980,"Pedro Baez"
501593,"Luis Avilan"
434378,"Justin Verlander"
458708,"Josh Tomlin"
543521,"Collin McHugh"
432934,"Chris Young"
451596,"Yovani Gallardo"
519008,"T.J. McFarland"
474699,"Vance Worley"
605400,"Aaron Nola"
282332,"CC Sabathia"
488768,"Andrew Cashner"
425794,"Adam Wainwright"
595307,"Michael Maness"
570632,"Jose Urena"
543243,"Sonny Gray"
643325,"Chad Girodo"
445926,"Jesse Chavez"
433587,"Felix Hernandez"
573064,"Vidal Nuno"
542609,"Enrique Burgos"
621408,"Matt Marksberry"
407890,"Colby Lewis"
607259,"Nicholas Martinez"
608032,"Carlos Estevez"
606273,"Roenis Elias"
518716,"Dillon Gee"
451085,"Brian Matusz"
457732,"Andrew Bailey"
605483,"Blake Snell"
570714,"Cesar Vargas"
643297,"Cody Ege"
592135,"Cameron Bedrosian"
545332,"Jake Barrett"
595465,"Daniel Winkler"
516414,"Ariel Pena"
475115,"Tyson Ross"
571760,"Andrew Heaney"
430661,"Dustin McGowan"
489265,"Sergio Romo"
462985,"Franklin Morales"
605226,"Andrew Faulkner"
607231,"John Gant"
434137,"Logan Kensing"
593140,"Michael Feliz"
458537,"Cory Luebke"
504186,"Arnold Leon"
475138,"Kyle Drabek"
621385,"Daniel Stumpf"
572102,"Keyvius Sampson"
430580,"Alfredo Simon"
570666,"Luis Cessa"
594798,"Jacob deGrom"
592091,"Adam Achter"
542432,"Jose Ramirez"
571656,"Buck Farmer"
450282,"Glen Perkins"
501936,"Matt Buschmann"
592222,"Alexander Claudio"
573124,"Taylor Rogers"
621397,"Tyler Olson"
518567,"Josh Collmenter"
466948,"Jean Machi"
346793,"Jeremy Affeldt"
276514,"Kevin Gregg"
448159,"Manny Parra"
547973,"Aroldis Chapman"
543242,"J.R. Graham"
150274,"Joe Nathan"
425786,"Scott Atchison"
571057,"Frank Garces"
506693,"Henderson Alvarez"
445197,"Michael Dunn"
346798,"Kyle Lohse"
452718,"Kyle Kendrick"
425840,"Neal Cotts"
519293,"William Smith"
429783,"Rafael Betancourt"
543184,"Christian Friedrich"
571800,"Drew Hutchison"
455119,"Chris Martin"
502304,"David Carpenter"
571901,"Aaron Loup"
469134,"Esmil Rogers"
542914,"Anthony Bass"
542669,"Roman Mendez"
519267,"Evan Scribner"
472610,"Luis Garcia"
518603,"Justin De Fratus"
462945,"Cesar Jimenez"
459987,"Cesar Ramos"
518703,"Charlie Furbush"
605476,"Carson Smith"
457117,"Ernesto Frieri"
542924,"Jeff Beliveau"
346797,"Grant Balfour"
488984,"Tommy Hunter"
502578,"Aaron Barrett"
407819,"Matt Thornton"
234194,"Buddy Carlyle"
572089,"Paco Rodriguez"
445612,"Dale Thayer"
594792,"Brandon Cunniff"
592533,"Cody Martin"
462089,"Juan Jaime"
490063,"Matt Garza"
493603,"Adam Ottavino"
115629,"LaTroy Hawkins"
534910,"Jesse Hahn"
572020,"James Paxton"
450351,"C.J. Wilson"
500721,"Yoervis Medina"
592332,"Kevin Gausman"
502202,"Bradley Boxberger"
458681,"Lance Lynn"
457435,"Phil Coke"
453172,"Jared Hughes"
488674,"Burke Badenhop"
467785,"Radhames Liz"
431162,"Tim Stauffer"
457744,"Aaron Thompson"
553970,"Angel Nesbitt"
571871,"Ian Krol"
456379,"Al Alburquerque"
491159,"Joe Thatcher"
444935,"Nick Hagadone"
430630,"Jason Frasor"
457915,"Javy Guerra"
518813,"Greg Holland"
435221,"Brandon McCarthy"
572750,"Eddie Butler"
453156,"Brooks Brown"
571439,"R.J. Alvarez"
421685,"Aaron Harang"
456068,"Miguel Gonzalez"
592329,"Jason Garcia"
449079,"Wesley Wright"
489334,"Craig Stammen"
543101,"Anthony DeSclafani"
150359,"A.J. Burnett"
488846,"Brian Duensing"
452733,"Tom Gorzelanny"
592879,"Randall Wojciechowski"
465679,"Samuel Deduno"
641490,"Kyle Crockett"
596057,"Daniel Norris"
571527,"David Buchanan"
475416,"Justin Masterson"
465629,"Edward Mujica"
218596,"Tim Hudson"
628333,"Odrisamer Despaigne"
456776,"Alexander Torres"
450306,"Jason Vargas"
502260,"Vinnie Pestano"
474463,"Brett Anderson"
445590,"Eric Stults"
592340,"Erik Goeddel"
543219,"Sean Gilmartin"
279824,"Mark Buehrle"
518833,"Colt Hynes"
456051,"Hector Noesi"
150302,"Jason Marquis"
477229,"Jordan Walden"
461872,"Anthony Swarzak"
554431,"Tyler Matzek"
435400,"Jason Motte"
489295,"Brian Schlitter"
429717,"Dan Haren"
542882,"Matthew Andriese"
460008,"Anthony Varvaro"
425532,"Jerome Williams"
453344,"Brandon Morrow"
453311,"Tim Lincecum"
425386,"Jeremy Guthrie"
607968,"Drew Rucinski"
445170,"Todd Redmond"
329092,"Randy Choate"
595441,"Matthew Tracy"
433584,"Roberto Hernandez"
457754,"Jon Edwards"
605374,"Andrew McKirahan"
543334,"T.J. House"
542866,"Austin Adams"
451788,"Shaun Marcum"
594987,"Casey Sadler"
434678,"Kyle Davies"
457711,"Sean O'Sullivan"
595371,"Chris Rearick"
605169,"Carter Capps"
608678,"Dominic Leone"
516935,"Stolmy Pimentel"
516970,"Sugar Ray Marimon"
573127,"Zachary Rosscup"
502748,"Brad Peacock"
453307,"David Huff"
623184,"Scott Oberg"
514669,"Rafael Martin"
543881,"Pedro Villarreal"
519168,"Anthony Ranaudo"
573244,"Adam Wilk"
523848,"Jose Dominguez"
573204,"Caleb Thielbar"
489294,"Tanner Scheppers"
592677,"C.J. Riefenhauser"
464416,"Yohan Pino"
456701,"Homer Bailey"
460156,"Brandon Gomes"
433585,"Jeff Francis"
477195,"Ike Davis"
621962,"Ian Thomas"
434665,"Nick Masset"
594840,"Matthew Grace"
502211,"Michael Bolsinger"
434643,"Wandy Rodriguez"
518771,"Mitchell Harris"
543942,"Robert Wooten"
435045,"Sergio Santos"
476595,"Lucas Luetge"
475857,"Ryan Cook"
543409,"Michael Kohn"
435044,"Scott Baker"
516910,"Carlos Frias"
501870,"Everett Teaford"
543508,"Cory Mazzoni"
504083,"Jorge Rondon"
595918,"A.J. Cole"
595032,"Chase Whitley"
605894,"Severino Gonzalez"
607405,"John Cornely"
453222,"Scott Carroll"
547179,"Michael Lorenzen"
542266,"Carlos Contreras"
605333,"John Leathersich"
453264,"Donald Veal"
519301,"Sammy Solis"
608641,"Tim Cooney"
592314,"Michael Foltynewicz"
452027,"Andrew Albers"
502087,"Kevin Chapman"
571577,"Scott Copeland"
594977,"Kenneth Roberts"
592815,"Samuel Tuivailala"
462515,"Miguel Socolovich"
605477,"Chad Smith"
451532,"Chad Billingsley"
543056,"Daniel Coulombe"
447755,"Steve Delabar"
554432,"Chad Jenkins"
346847,"Joe Beimel"
607359,"Spencer Patton"
543921,"Joseph Wieland"
445213,"Brandon Kintzler"
458919,"Ryan Mattheus"
136600,"Bruce Chen"
424325,"David Ross"
502162,"Angel Castro"
571479,"Andrew Bellatti"
572193,"Ryan Tepera"
519208,"Clint Robinson"
489039,"Bobby LaFromboise"
493117,"Kyuji Fujikawa"
605156,"Aaron Brooks"
456071,"Yohan Flande"
621121,"Lance McCullers"
594772,"Jake Buchanan"
608349,"Corey Knebel"
493159,"Tsuyoshi Wada"
543118,"Oliver Drake"
434540,"Garrett Jones"
445163,"Casey Janssen"
475054,"Chaz Roe"
543258,"Preston Guilmet"
605338,"Jacob Lindgren"
476570,"Vincent Mazzaro"
592341,"David Goforth"
516589,"Andre Rienzo"
571476,"Chris Beck"
543900,"Daniel Webb"
593958,"Eduardo Rodriguez"
518863,"Taylor Jordan"
592346,"Alex Gonzalez"
592398,"Taylor Hill"
592454,"Thomas Kahnle"
515052,"Mayckol Guaipe"
500891,"Edgar Ibarra"
502051,"Josh Ravin"
544759,"Bo Schultz"
501627,"Cesar Cabral"
572309,"Kendry Flores"
430911,"David Aardsma"
502264,"Nathan Adcock"
547348,"Chen Lee"
491696,"Jesus Sucre"
429781,"Kevin Correia"
448855,"Junior Guerra"
458730,"Robert Parnell"
543903,"Allen Webster"
641627,"Trevor Gott"
425796,"Jeff Francoeur"
518653,"Jacob Elmore"
545338,"Nick Franklin"
518764,"Donovan Hand"
430605,"Ryan Raburn"
461815,"David Murphy"
506560,"Alexi Amarista"
592570,"Akeel Morris"
430613,"Ronald Belisario"
518418,"Phillippe Aumont"
592593,"Justin Nicolino"
519411,"Matthew West"
571951,"Bryan Mitchell"
425543,"Josh Wilson"
519229,"Seth Rosin"
592181,"Dan Burawa"
517059,"Jose De Paula"
605388,"Adam Morgan"
514981,"Diego Moreno"
592705,"Nick Rumbelow"
595001,"Josh Smith"
592527,"Michael Mariot"
458690,"Christopher Volstad"
456496,"Marcos Mateo"
608167,"Jonathan Aro"
541652,"Bruce Rondon"
543542,"Alex Meyer"
489267,"Adam Rosales"
519169,"Rob Rasmussen"
500610,"Deolis Guerra"
543698,"Donn Roach"
571510,"Matt Boyd"
538506,"Tooru Murata"
592781,"Matthew Stites"
502010,"Jacob Brigham"
502462,"William Kelly"
502281,"Marcus Hatley"
544365,"Manny Banuelos"
467094,"Felix Doubront"
594815,"Jeff Ferrell"
543716,"David Rollins"
542923,"Dallas Beeler"
457448,"Matt Harrison"
444836,"Aaron Laffey"
425835,"Chin-hui Tsao"
571521,"Rex Brothers"
545404,"Brandon Beachy"
572889,"Nick Greenwood"
516769,"Jenrry Mejia"
400089,"Rafael Soriano"
518420,"Dylan Axelrod"
598271,"Brian Johnson"
593582,"Abel De Los Santos"
643327,"Zack Godley"
545346,"Zach Lee"
571787,"David Holmberg"
543094,"Jaff Decker"
580792,"Nick Goody"
572308,"Jose Valdez"
425560,"Adam LaRoche"
607068,"Chris Reed"
623395,"Brian Ellington"
596064,"Henry Owens"
608648,"Tyler Duffey"
489138,"Tyler Moore"
594857,"Keith Hessler"
453203,"Shane Robinson"
542888,"Shawn Armstrong"
429400,"Adam Loewen"
502166,"Brad Mills"
543424,"John Lamb"
493247,"Peter Moylan"
543607,"Edgar Olmos"
449170,"Erik Cordier"
456121,"Chris Denorfia"
459967,"Sam LeCure"
543518,"Scott McGough"
150116,"Randy Wolf"
605317,"Guido Knudson"
444446,"Collin Balester"
519186,"Matt Reynolds"
501563,"Simon Castro"
545064,"Jairo Diaz"
453895,"Brendan Ryan"
430404,"Jonny Gomes"
594742,"Alec Asher"
489002,"Steve Johnson"
602083,"Miguel Almonte"
594835,"Marco Gonzales"
518397,"Scott Alexander"
593423,"Francellis Montas"
605396,"Colton Murray"
595235,"Cody Hall"
592426,"Luke Jackson"
543803,"Giovany Soto"
