"batter","batter_name"
605486,"Cory Spangenberg"
461314,"Matt Kemp"
425834,"Melvin Upton Jr."
493351,"Alexei Ramirez"
571875,"Jake Lamb"
572008,"Chris Owings"
543302,"Chris Herrmann"
518466,"Jabari Blash"
542194,"Christian Bethancourt"
489267,"Adam Rosales"
572362,"Robbie Erlin"
571578,"Patrick Corbin"
593647,"Socrates Brito"
608671,"Travis Jankowski"
444482,"David Peralta"
506560,"Alexi Amarista"
446359,"Zack Cozart"
553993,"Eugenio Suarez"
458015,"Joey Votto"
408252,"Brandon Phillips"
572761,"Matt Carpenter"
572039,"Stephen Piscotty"
461235,"Brandon Moss"
545341,"Randal Grichuk"
457803,"Jay Bruce"
519023,"Devin Mesoraco"
594807,"Adam Duvall"
594988,"Scott Schebler"
621209,"Jon Moscot"
571431,"Matt Adams"
576397,"Jedd Gyorko"
594824,"Greg Garcia"
518700,"Eric Fryer"
608379,"Michael Wacha"
571757,"Jeremy Hazelbaker"
457574,"Jordan Pacheco"
649557,"Aledmys Diaz"
407812,"Matt Holliday"
594809,"Adam Eaton"
457706,"Austin Jackson"
547989,"Jose Abreu"
523253,"Logan Forsythe"
446386,"Brandon Guyer"
446334,"Evan Longoria"
456665,"Steve Pearce"
457775,"Desmond Jennings"
453943,"Todd Frazier"
543742,"Jerry Sands"
543434,"Brett Lawrie"
489149,"Logan Morrison"
592200,"Curt Casali"
595281,"Kevin Kiermaier"
543543,"Brad Miller"
541645,"Avisail Garcia"
425900,"Dioner Navarro"
573135,"Tyler Saladino"
466320,"Melky Cabrera"
456030,"Dustin Pedroia"
592710,"Josh Rutledge"
543877,"Christian Vazquez"
485567,"Ezequiel Carrera"
502226,"Craig Gentry"
434567,"Geovany Soto"
276519,"Jimmy Rollins"
572019,"Ben Paulsen"
542436,"Cristhian Adames"
543475,"Jordan Lyles"
571466,"Tucker Barnhart"
573185,"Dan Straily"
571740,"Billy Hamilton"
534627,"Tyler Holt"
474443,"Ivan De Jesus"
475582,"Ryan Zimmerman"
592663,"J.T. Realmuto"
467092,"Wilson Ramos"
457787,"Danny Espinosa"
543699,"Tanner Roark"
605228,"Jose Fernandez"
500743,"Miguel Rojas"
460075,"Ryan Braun"
435559,"Kurt Suzuki"
431151,"David Wright"
592789,"Noah Syndergaard"
519237,"Cameron Rupp"
518953,"David Lough"
595191,"Jerad Eickhoff"
516416,"Jean Segura"
502671,"Paul Goldschmidt"
456078,"Welington Castillo"
605151,"Archie Bradley"
605509,"Kelby Tomlinson"
408241,"Jake Peavy"
453923,"Gregor Blanco"
607776,"Mac Williamson"
608365,"Addison Russell"
425877,"Yadier Molina"
543939,"Kolten Wong"
407793,"John Lackey"
502190,"Mike Leake"
519333,"Matthew Szczur"
452095,"Tyler Flowers"
554234,"Williams Perez"
622072,"Alex Wood"
543901,"James Weber"
572073,"Joey Rickard"
592518,"Manny Machado"
430945,"Adam Jones"
448801,"Chris Davis"
444432,"Mark Trumbo"
446308,"Matt Wieters"
429666,"J.J. Hardy"
