"batter","batter_name"
425664,"Shane Victorino"
593428,"Xander Bogaerts"
452672,"Ryan Hanigan"
453329,"Clay Buchholz"
434563,"Carlos Ruiz"
429713,"Grady Sizemore"
605125,"Cody Asche"
520471,"Freddy Galvis"
430935,"Cole Hamels"
514917,"Cesar Hernandez"
433217,"Andres Blanco"
501800,"Allen Craig"
435063,"Mike Napoli"
425796,"Jeff Francoeur"
594777,"Kole Calhoun"
545361,"Mike Trout"
405395,"Albert Pujols"
459964,"Matt Joyce"
457706,"Austin Jackson"
452234,"Seth Smith"
429664,"Robinson Cano"
443558,"Nelson Cruz"
501896,"David Freese"
430947,"Erick Aybar"
543068,"C.J. Cron"
572122,"Kyle Seager"
489149,"Logan Morrison"
572287,"Mike Zunino"
455104,"Chris Iannetta"
543213,"Johnny Giavotella"
554429,"Dustin Ackley"
543543,"Brad Miller"
448605,"Justin Ruggiano"
457477,"Alejandro De Aza"
592518,"Manny Machado"
430945,"Adam Jones"
456665,"Steve Pearce"
501983,"Travis Snider"
430321,"Delmon Young"
444379,"John Jaso"
519306,"Steve Souza"
452678,"Asdrubal Cabrera"
475247,"Ryan Flaherty"
570731,"Jonathan Schoop"
543376,"Caleb Joseph"
446334,"Evan Longoria"
425766,"James Loney"
457775,"Desmond Jennings"
425784,"Rene Rivera"
523253,"Logan Forsythe"
595281,"Kevin Kiermaier"
430203,"David DeJesus"
446386,"Brandon Guyer"
434158,"Curtis Granderson"
431151,"David Wright"
446263,"Lucas Duda"
150212,"Michael Cuddyer"
572191,"Michael Taylor"
488862,"Yunel Escobar"
547180,"Bryce Harper"
475582,"Ryan Zimmerman"
467092,"Wilson Ramos"
502517,"Daniel Murphy"
501571,"Juan Lagares"
518595,"Travis d'Arnaud"
435622,"Ian Desmond"
462564,"Dan Uggla"
489138,"Tyler Moore"
527038,"Wilmer Flores"
112526,"Bartolo Colon"
453286,"Max Scherzer"
543590,"Kirk Nieuwenhuis"
544925,"Matt den Dekker"
460055,"John MayberryJr."
285064,"Ryan Vogelsong"
523989,"Rubby De La Rosa"
435078,"Joaquin Arias"
516949,"Hector Sanchez"
452239,"Justin Maxwell"
475115,"Tyson Ross"
518735,"Yasmani Grandal"
425844,"Zack Greinke"
500208,"Yangervis Solarte"
453400,"Chris Johnson"
622072,"Alex Wood"
543272,"Brad Hand"
456781,"Donovan Solano"
430404,"Jonny Gomes"
543475,"Jordan Lyles"
490063,"Matt Garza"
501255,"Rafael Ynoa"
518614,"Daniel Descalso"
449786,"Carlos Corporan"
430001,"Rickie Weeks"
518577,"Collin Cowgill"
448801,"Chris Davis"
465784,"Everth Cabrera"
542921,"Tim Beckham"
518790,"Christopher Heston"
408042,"Gerald Laird"
476451,"Jeremy Hellickson"
458681,"Lance Lynn"
453562,"Jake Arrieta"
519333,"Matthew Szczur"
543037,"Gerrit Cole"
502190,"Mike Leake"
430611,"Corey Hart"
453269,"Brennan Boesch"
628356,"Jungho Kang"
435401,"Skip Schumaker"
506997,"Tony Sanchez"
543238,"Anthony Gose"
543510,"James McCann"
456488,"Eduardo Nunez"
453203,"Shane Robinson"
543302,"Chris Herrmann"
461815,"David Murphy"
449107,"Mike Aviles"
543257,"Robbie Grossman"
493596,"Gordon Beckham"
570560,"Carlos Sanchez"
435221,"Brandon McCarthy"
488768,"Andrew Cashner"
461416,"Will Venable"
150229,"A.J. Pierzynski"
571946,"Shelby Miller"
425772,"Jeff Mathis"
543408,"Tom Koehler"
572750,"Eddie Butler"
503449,"Wily Peralta"
501647,"Wilin Rosario"
475253,"Justin Smoak"
455759,"Chris Young"
502143,"Danny Valencia"
425496,"Cody Ross"
519295,"Jake Smolinski"
489267,"Adam Rosales"
592192,"Mark Canha"
572033,"Josh Phegley"
502285,"Tyler Ladendorf"
592261,"Delino DeShields"
537953,"Daniel Nava"
573131,"Darin Ruf"
519144,"Rick Porcello"
421685,"Aaron Harang"
519068,"Efren Navarro"
488852,"Allan Dykstra"
543432,"Ryan Lavarnway"
594798,"Jacob deGrom"
519455,"Jordan Zimmermann"
519208,"Clint Robinson"
150359,"A.J. Burnett"
543101,"Anthony DeSclafani"
502117,"Kristopher Negron"
547379,"Roberto Perez"
474233,"Hank Conger"
542340,"Jonathan Villar"
434567,"Geovany Soto"
449181,"Paulo Orlando"
466988,"Emilio Bonifacio"
476270,"Steven Tolleson"
571974,"John Murphy"
463610,"Gregorio Petit"
475416,"Justin Masterson"
571788,"Brock Holt"
218596,"Tim Hudson"
628333,"Odrisamer Despaigne"
446653,"Jose Lobaton"
518774,"Matt Harvey"
544931,"Stephen Strasburg"
407862,"Reed Johnson"
474463,"Brett Anderson"
502624,"Chase Anderson"
605177,"Andrew Chafin"
594838,"Philip Gosselin"
445590,"Eric Stults"
477003,"Jon Niese"
545341,"Randal Grichuk"
407793,"John Lackey"
150302,"Jason Marquis"
488721,"Peter Bourjos"
456078,"Welington Castillo"
475243,"Travis Wood"
554431,"Tyler Matzek"
468406,"Jonathan Herrera"
429717,"Dan Haren"
543484,"Mikie Mahtook"
435064,"Bobby Wilson"
502046,"Jeff Locke"
571666,"Michael Fiers"
467143,"Hector Gomez"
453172,"Jared Hughes"
506702,"Sandy Leon"
434540,"Garrett Jones"
217100,"Willie Bloomquist"
461829,"Gio Gonzalez"
519237,"Cameron Rupp"
425532,"Jerome Williams"
453311,"Tim Lincecum"
453344,"Brandon Morrow"
460077,"Drew Butera"
605151,"Archie Bradley"
648717,"Alexander Guerrero"
446381,"Darwin Barney"
518716,"Dillon Gee"
